mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,power_to_weight_ratio
18.0,8,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu,26.953846153846154
15.0,8,350.0,165.0,3693.0,11.5,70,1,buick skylark 320,22.381818181818183
18.0,8,318.0,150.0,3436.0,11.0,70,1,plymouth satellite,22.906666666666666
16.0,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst,22.886666666666667
17.0,8,302.0,140.0,3449.0,10.5,70,1,ford torino,24.635714285714286
15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500,21.924242424242426
14.0,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala,19.79090909090909
14.0,8,440.0,215.0,4312.0,8.5,70,1,plymouth fury iii,20.05581395348837
14.0,8,455.0,225.0,4425.0,10.0,70,1,pontiac catalina,19.666666666666668
15.0,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl,20.263157894736842
15.0,8,383.0,170.0,3563.0,10.0,70,1,dodge challenger se,20.958823529411763
14.0,8,340.0,160.0,3609.0,8.0,70,1,plymouth 'cuda 340,22.55625
15.0,8,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo,25.073333333333334
14.0,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw),13.715555555555556
24.0,4,113.0,95.0,2372.0,15.0,70,3,toyota corona mark ii,24.96842105263158
22.0,6,198.0,95.0,2833.0,15.5,70,1,plymouth duster,29.821052631578947
18.0,6,199.0,97.0,2774.0,15.5,70,1,amc hornet,28.5979381443299
21.0,6,200.0,85.0,2587.0,16.0,70,1,ford maverick,30.435294117647057
27.0,4,97.0,88.0,2130.0,14.5,70,3,datsun pl510,24.204545454545453
26.0,4,97.0,46.0,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan,39.891304347826086
25.0,4,110.0,87.0,2672.0,17.5,70,2,peugeot 504,30.71264367816092
24.0,4,107.0,90.0,2430.0,14.5,70,2,audi 100 ls,27.0
25.0,4,104.0,95.0,2375.0,17.5,70,2,saab 99e,25.0
26.0,4,121.0,113.0,2234.0,12.5,70,2,bmw 2002,19.76991150442478
21.0,6,199.0,90.0,2648.0,15.0,70,1,amc gremlin,29.42222222222222
10.0,8,360.0,215.0,4615.0,14.0,70,1,ford f250,21.46511627906977
10.0,8,307.0,200.0,4376.0,15.0,70,1,chevy c20,21.88
11.0,8,318.0,210.0,4382.0,13.5,70,1,dodge d200,20.866666666666667
9.0,8,304.0,193.0,4732.0,18.5,70,1,hi 1200d,24.518134715025905
27.0,4,97.0,88.0,2130.0,14.5,71,3,datsun pl510,24.204545454545453
28.0,4,140.0,90.0,2264.0,15.5,71,1,chevrolet vega 2300,25.155555555555555
25.0,4,113.0,95.0,2228.0,14.0,71,3,toyota corona,23.45263157894737
19.0,6,232.0,100.0,2634.0,13.0,71,1,amc gremlin,26.34
16.0,6,225.0,105.0,3439.0,15.5,71,1,plymouth satellite custom,32.75238095238095
17.0,6,250.0,100.0,3329.0,15.5,71,1,chevrolet chevelle malibu,33.29
19.0,6,250.0,88.0,3302.0,15.5,71,1,ford torino 500,37.52272727272727
18.0,6,232.0,100.0,3288.0,15.5,71,1,amc matador,32.88
14.0,8,350.0,165.0,4209.0,12.0,71,1,chevrolet impala,25.509090909090908
14.0,8,400.0,175.0,4464.0,11.5,71,1,pontiac catalina brougham,25.50857142857143
14.0,8,351.0,153.0,4154.0,13.5,71,1,ford galaxie 500,27.15032679738562
14.0,8,318.0,150.0,4096.0,13.0,71,1,plymouth fury iii,27.30666666666667
12.0,8,383.0,180.0,4955.0,11.5,71,1,dodge monaco (sw),27.52777777777778
13.0,8,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw),27.91764705882353
13.0,8,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw),29.37142857142857
18.0,6,258.0,110.0,2962.0,13.5,71,1,amc hornet sportabout (sw),26.927272727272726
22.0,4,140.0,72.0,2408.0,19.0,71,1,chevrolet vega (sw),33.44444444444444
19.0,6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird,32.82
18.0,6,250.0,88.0,3139.0,14.5,71,1,ford mustang,35.67045454545455
23.0,4,122.0,86.0,2220.0,14.0,71,1,mercury capri 2000,25.813953488372093
28.0,4,116.0,90.0,2123.0,14.0,71,2,opel 1900,23.58888888888889
30.0,4,79.0,70.0,2074.0,19.5,71,2,peugeot 304,29.62857142857143
30.0,4,88.0,76.0,2065.0,14.5,71,2,fiat 124b,27.17105263157895
31.0,4,71.0,65.0,1773.0,19.0,71,3,toyota corolla 1200,27.276923076923076
35.0,4,72.0,69.0,1613.0,18.0,71,3,datsun 1200,23.3768115942029
27.0,4,97.0,60.0,1834.0,19.0,71,2,volkswagen model 111,30.566666666666666
26.0,4,91.0,70.0,1955.0,20.5,71,1,plymouth cricket,27.928571428571427
24.0,4,113.0,95.0,2278.0,15.5,72,3,toyota corona hardtop,23.978947368421053
25.0,4,97.5,80.0,2126.0,17.0,72,1,dodge colt hardtop,26.575
23.0,4,97.0,54.0,2254.0,23.5,72,2,volkswagen type 3,41.74074074074074
20.0,4,140.0,90.0,2408.0,19.5,72,1,chevrolet vega,26.755555555555556
21.0,4,122.0,86.0,2226.0,16.5,72,1,ford pinto runabout,25.88372093023256
13.0,8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala,25.903030303030302
14.0,8,400.0,175.0,4385.0,12.0,72,1,pontiac catalina,25.057142857142857
15.0,8,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii,27.566666666666666
14.0,8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500,26.986928104575163
17.0,8,304.0,150.0,3672.0,11.5,72,1,amc ambassador sst,24.48
11.0,8,429.0,208.0,4633.0,11.0,72,1,mercury marquis,22.27403846153846
13.0,8,350.0,155.0,4502.0,13.5,72,1,buick lesabre custom,29.045161290322582
12.0,8,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale,27.85
13.0,8,400.0,190.0,4422.0,12.5,72,1,chrysler newport royal,23.273684210526316
19.0,3,70.0,97.0,2330.0,13.5,72,3,mazda rx2 coupe,24.02061855670103
15.0,8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw),25.946666666666665
13.0,8,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw),31.523076923076925
13.0,8,302.0,140.0,4294.0,16.0,72,1,ford gran torino (sw),30.67142857142857
14.0,8,318.0,150.0,4077.0,14.0,72,1,plymouth satellite custom (sw),27.18
18.0,4,121.0,112.0,2933.0,14.5,72,2,volvo 145e (sw),26.1875
22.0,4,121.0,76.0,2511.0,18.0,72,2,volkswagen 411 (sw),33.03947368421053
21.0,4,120.0,87.0,2979.0,19.5,72,2,peugeot 504 (sw),34.241379310344826
26.0,4,96.0,69.0,2189.0,18.0,72,2,renault 12 (sw),31.72463768115942
22.0,4,122.0,86.0,2395.0,16.0,72,1,ford pinto (sw),27.848837209302324
28.0,4,97.0,92.0,2288.0,17.0,72,3,datsun 510 (sw),24.869565217391305
23.0,4,120.0,97.0,2506.0,14.5,72,3,toyouta corona mark ii (sw),25.835051546391753
28.0,4,98.0,80.0,2164.0,15.0,72,1,dodge colt (sw),27.05
27.0,4,97.0,88.0,2100.0,16.5,72,3,toyota corolla 1600 (sw),23.863636363636363
13.0,8,350.0,175.0,4100.0,13.0,73,1,buick century 350,23.428571428571427
14.0,8,304.0,150.0,3672.0,11.5,73,1,amc matador,24.48
13.0,8,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu,27.50344827586207
14.0,8,302.0,137.0,4042.0,14.5,73,1,ford gran torino,29.503649635036496
15.0,8,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom,25.18
12.0,8,429.0,198.0,4952.0,11.5,73,1,mercury marquis brougham,25.01010101010101
13.0,8,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic,29.76
13.0,8,351.0,158.0,4363.0,13.0,73,1,ford ltd,27.61392405063291
14.0,8,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan,28.246666666666666
13.0,8,440.0,215.0,4735.0,11.0,73,1,chrysler new yorker brougham,22.023255813953487
12.0,8,455.0,225.0,4951.0,11.0,73,1,buick electra 225 custom,22.004444444444445
13.0,8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham,21.834285714285713
18.0,6,225.0,105.0,3121.0,16.5,73,1,plymouth valiant,29.723809523809525
16.0,6,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom,32.78
18.0,6,232.0,100.0,2945.0,16.0,73,1,amc hornet,29.45
18.0,6,250.0,88.0,3021.0,16.5,73,1,ford maverick,34.32954545454545
23.0,6,198.0,95.0,2904.0,16.0,73,1,plymouth duster,30.568421052631578
26.0,4,97.0,46.0,1950.0,21.0,73,2,volkswagen super beetle,42.391304347826086
11.0,8,400.0,150.0,4997.0,14.0,73,1,chevrolet impala,33.31333333333333
12.0,8,400.0,167.0,4906.0,12.5,73,1,ford country,29.377245508982035
13.0,8,360.0,170.0,4654.0,13.0,73,1,plymouth custom suburb,27.376470588235293
